code,name,pre_close,price,PI,change,time
603657,春光科技,51.8,56.47,3.400673400673401,9.02,2018-08-09 20:27
000968,蓝焰控股,11.17,11.39,3.5683760683760686,1.97,2018-08-09 20:27
300523,辰安科技,61.14,65.0,4.820717131474104,6.31,2018-08-09 20:27
002685,华东重机,7.64,7.75,3.7351308485329104,1.44,2018-08-09 20:27
603199,九华旅游,23.23,23.55,3.6847826086956523,1.38,2018-08-09 20:27
002779,中坚科技,17.83,18.9,3.5503472222222223,6.00,2018-08-09 20:27
300630,普利制药,59.37,61.31,3.6986301369863015,3.27,2018-08-09 20:27
603108,润达医疗,9.79,10.12,3.6168601716304893,3.37,2018-08-09 20:27
603868,飞科电器,53.09,53.86,3.611111111111111,1.45,2018-08-09 20:27
603019,中科曙光,48.07,51.96,3.455103179029559,8.09,2018-08-09 20:27
603181,皇马科技,17.21,17.57,4.516129032258065,2.09,2018-08-09 20:27
002729,好利来,22.04,22.79,3.5257985257985256,3.40,2018-08-09 20:27
002868,绿康生化,16.95,17.26,3.8271134805788267,1.83,2018-08-09 20:27
002304,洋河股份,113.44,116.9,3.56,3.05,2018-08-09 20:27
300226,上海钢联,52.6,54.88,4.206212251941328,4.33,2018-08-09 20:27
603566,普莱柯,14.19,14.47,4.145367412140575,1.97,2018-08-09 20:27
002699,美盛文化,15.88,16.08,3.810230646266271,1.26,2018-08-09 20:27
300454,深信服,93.1,97.8,3.891843971631206,5.05,2018-08-09 20:27
603657,春光科技,51.8,56.47,3.400673400673401,9.02,2018-08-09 20:28
000968,蓝焰控股,11.17,11.39,3.5683760683760686,1.97,2018-08-09 20:28
300523,辰安科技,61.14,65.0,4.820717131474104,6.31,2018-08-09 20:28
002685,华东重机,7.64,7.75,3.7351308485329104,1.44,2018-08-09 20:28
603199,九华旅游,23.23,23.55,3.6847826086956523,1.38,2018-08-09 20:28
002779,中坚科技,17.83,18.9,3.5503472222222223,6.00,2018-08-09 20:28
300630,普利制药,59.37,61.31,3.6986301369863015,3.27,2018-08-09 20:28
603108,润达医疗,9.79,10.12,3.6168601716304893,3.37,2018-08-09 20:28
603868,飞科电器,53.09,53.86,3.611111111111111,1.45,2018-08-09 20:28
603019,中科曙光,48.07,51.96,3.455103179029559,8.09,2018-08-09 20:28
603181,皇马科技,17.21,17.57,4.516129032258065,2.09,2018-08-09 20:28
002729,好利来,22.04,22.79,3.5257985257985256,3.40,2018-08-09 20:28
002868,绿康生化,16.95,17.26,3.8271134805788267,1.83,2018-08-09 20:28
002304,洋河股份,113.44,116.9,3.56,3.05,2018-08-09 20:28
300226,上海钢联,52.6,54.88,4.206212251941328,4.33,2018-08-09 20:28
603566,普莱柯,14.19,14.47,4.145367412140575,1.97,2018-08-09 20:28
002699,美盛文化,15.88,16.08,3.810230646266271,1.26,2018-08-09 20:28
300454,深信服,93.1,97.8,3.891843971631206,5.05,2018-08-09 20:28
603657,春光科技,51.8,56.47,3.400673400673401,9.02,2018-08-09 20:30
000968,蓝焰控股,11.17,11.39,3.5683760683760686,1.97,2018-08-09 20:30
300523,辰安科技,61.14,65.0,4.820717131474104,6.31,2018-08-09 20:30
002685,华东重机,7.64,7.75,3.7351308485329104,1.44,2018-08-09 20:30
603199,九华旅游,23.23,23.55,3.6847826086956523,1.38,2018-08-09 20:30
002779,中坚科技,17.83,18.9,3.5503472222222223,6.00,2018-08-09 20:30
300630,普利制药,59.37,61.31,3.6986301369863015,3.27,2018-08-09 20:30
603108,润达医疗,9.79,10.12,3.6168601716304893,3.37,2018-08-09 20:30
603868,飞科电器,53.09,53.86,3.611111111111111,1.45,2018-08-09 20:30
603019,中科曙光,48.07,51.96,3.455103179029559,8.09,2018-08-09 20:30
603181,皇马科技,17.21,17.57,4.516129032258065,2.09,2018-08-09 20:30
002729,好利来,22.04,22.79,3.5257985257985256,3.40,2018-08-09 20:30
002868,绿康生化,16.95,17.26,3.8271134805788267,1.83,2018-08-09 20:30
002304,洋河股份,113.44,116.9,3.56,3.05,2018-08-09 20:30
300226,上海钢联,52.6,54.88,4.206212251941328,4.33,2018-08-09 20:30
603566,普莱柯,14.19,14.47,4.145367412140575,1.97,2018-08-09 20:30
002699,美盛文化,15.88,16.08,3.810230646266271,1.26,2018-08-09 20:30
300454,深信服,93.1,97.8,3.891843971631206,5.05,2018-08-09 20:30
603657,春光科技,51.8,56.47,3.400673400673401,9.02,2018-08-09 20:31
000968,蓝焰控股,11.17,11.39,3.5683760683760686,1.97,2018-08-09 20:31
300523,辰安科技,61.14,65.0,4.820717131474104,6.31,2018-08-09 20:31
002685,华东重机,7.64,7.75,3.7351308485329104,1.44,2018-08-09 20:31
603199,九华旅游,23.23,23.55,3.6847826086956523,1.38,2018-08-09 20:31
002779,中坚科技,17.83,18.9,3.5503472222222223,6.00,2018-08-09 20:31
300630,普利制药,59.37,61.31,3.6986301369863015,3.27,2018-08-09 20:31
603108,润达医疗,9.79,10.12,3.6168601716304893,3.37,2018-08-09 20:31
603868,飞科电器,53.09,53.86,3.611111111111111,1.45,2018-08-09 20:31
603019,中科曙光,48.07,51.96,3.455103179029559,8.09,2018-08-09 20:31
603181,皇马科技,17.21,17.57,4.516129032258065,2.09,2018-08-09 20:31
002729,好利来,22.04,22.79,3.5257985257985256,3.40,2018-08-09 20:31
002868,绿康生化,16.95,17.26,3.8271134805788267,1.83,2018-08-09 20:31
002304,洋河股份,113.44,116.9,3.56,3.05,2018-08-09 20:31
300226,上海钢联,52.6,54.88,4.206212251941328,4.33,2018-08-09 20:31
603566,普莱柯,14.19,14.47,4.145367412140575,1.97,2018-08-09 20:31
002699,美盛文化,15.88,16.08,3.810230646266271,1.26,2018-08-09 20:31
300454,深信服,93.1,97.8,3.891843971631206,5.05,2018-08-09 20:31
603657,春光科技,51.8,56.47,3.400673400673401,9.02,2018-08-09 23:24
000968,蓝焰控股,11.17,11.39,3.5683760683760686,1.97,2018-08-09 23:24
